MAP SIZE:
    width: 1778
    height: 1334
BACKGROUND: paper-bag-map.png

HITBOX:
    x: 567
    y: 1031
    width: 238
    height: 93
HITBOX:
    x: 860
    y: 987
    width: 188
    height: 76
HITBOX:
    x: 867
    y: 457
    width: 65
    height: 196
HITBOX:
    x: 836
    y: 294
    width: 63
    height: 179
HITBOX:
    x: 795
    y: 272
    width: 146
    height: 35
HITBOX:
    x: 478
    y: 17
    width: 1284
    height: 113
HITBOX SPECIAL:
    x: 0
    y: 0
    width: 64
    height: 64
    level name: TestLevel
GAME ENTITY:
    x: 792
    y: 1281
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1026
    y: 1251
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 738
    y: 1270
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 358
    y: 1290
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 48
    y: 1266
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 39
    y: 1209
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 2
    y: 996
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 19
    y: 889
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 120
    y: 1011
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 314
    y: 893
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 220
    y: 917
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 452
    y: 542
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 332
    y: 429
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 439
    y: 357
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 257
    y: 385
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 655
    y: 496
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1467
    y: 649
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1282
    y: 725
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1520
    y: 575
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1188
    y: 625
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1745
    y: 1270
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

GAME ENTITY:
    x: 1572
    y: 1268
    width: 34
    height: 61
    sprite: GameEntity/tree.png
    speed: 0

SLIME:
    x: 1692
    y: 418
    width: 32
    height: 32
    health: 25
    sprite: GameEntity/Green_Slime.png
    speed: 0.5

SLIME:
    x: 528
    y: 941
    width: 32
    height: 32
    health: 25
    sprite: GameEntity/Green_Slime.png
    speed: 0.5

SLIME:
    x: 78
    y: 629
    width: 32
    height: 32
    health: 25
    sprite: GameEntity/Green_Slime.png
    speed: 0.5

GAME ENTITY ANIMATED:
    x: 352
    y: 1003
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 368
    y: 1003
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 835
    y: 225
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 851
    y: 225
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 867
    y: 225
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 883
    y: 225
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 1635
    y: 963
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 1651
    y: 963
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5

GAME ENTITY ANIMATED:
    x: 1667
    y: 963
    width: 16
    height: 46
    sprite: GameEntity/waterfall_animated.png
    frames: 9
    animationSpeed: 5


